IBRA Region Code,IBRA Subregion Name,IBRA Subregion Code,Jurisdictions,Jurisdiction(s) with Protected Area(s),Subregion Area (ha),Area Protected (ha),% IBRA Subregion Protected,Contribution to NRS (%)
TCH,Central Highlands,TCH01,TAS,TAS,767849.00,467482.00,60.88,0.27
VIM,Central Victorian Uplands,VIM02,VIC,VIC,1217922.00,82111.00,6.74,0.05
NNC,Chaelundi,NNC04,NSW,NSW,188279.00,51474.00,27.34,0.03
PIL,Chichester,PIL01,WA,WA,8374728.00,568729.00,6.79,0.33
ITI,Christmas Island,ITI01,EXT,EXT,13664.00,8541.00,62.51,0
GUP,Claraville Plains,GUP05,QLD,QLD,3738013.00,283.00,0.01,0
SEQ,Clarence Lowlands,SEQ13,NSW,NSW,520901.00,65437.00,12.56,0.04
SEQ,Clarence Sandstones,SEQ12,NSW,NSW,327829.00,55185.00,16.83,0.03
CMC,Clarke-Connors Ranges,CMC03,QLD,QLD,631985.00,108057.00,17.1,0.06
BBS,Claude River Downs,BBS01,QLD,QLD,1026214.00,131316.00,12.8,0.08
CYP,Coastal Plains,CYP09,QLD,QLD,284780.00,105846.00,37.17,0.06
TIW,Cobourg,TIW02,NT,NT,261652.00,204361.00,78.1,0.12
ITI,Cocos Islands,ITI02,EXT,EXT,1463.00,121.00,8.29,0
CYP,Coen-Yambo Inlier,CYP01,QLD,QLD,2312126.00,1080716.00,46.74,0.62
NNC,Coffs Coast and Escarpment,NNC06,NSW,NSW,308115.00,124841.00,40.52,0.07
NNC,Comboyne Plateau,NNC11,NSW,NSW,123315.00,58256.00,47.24,0.03
GAW,Commonwealth Hill,GAW08,SA,SA,1448062.00,12267.00,0.85,0.01
CHC,Coongie,CHC06,"QLD,SA",SA,1736594.00,807846.00,46.52,0.47
CHC,Cooper-Diamantina Plains,CHC05,"QLD,SA",QLD,4136121.00,221936.00,5.37,0.13
COS,Coral Sea,COS01,EXT,-,17167.00, -   ,0,0
CHC,Core Ranges,CHC10,NSW,NSW,139224.00,9784.00,7.03,0.01
SEH,Crookwell,SEH09,NSW,NSW,466523.00,33671.00,7.22,0.02
