"Supplied Name","verbatimScientificName","vernacularName","rawFamily","sourceStatus","status","IUCN_equivalent_status","taxonRank","guid","scientificName","genus","family","order","class","phylum","kingdom","vernacularName","matchType","nameType"
"Caladenia huegelii","Caladenia huegelii","King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51399090","Caladenia huegelii","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Grand Spider Orchid","exactMatch",
"Zeuxine polygonoides","Zeuxine polygonoides","Velvet Jewel Orchid","Orchidaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51414591","Zeuxine polygonoides","Zeuxine","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Velvet Jewel Orchid","exactMatch",
"Corchorus cunninghamii","Corchorus cunninghamii","Native Jute","Tiliaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51439022","Corchorus cunninghamii","Corchorus","Malvaceae","Malvales","Equisetopsida","Charophyta","Plantae","Native Jute","exactMatch",
"Epthianura crocea tunneyi","Epthianura crocea tunneyi","Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)","Meliphagidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/ddbd8b01-aeed-404b-a198-fa2a9b25ae3e","Epthianura (Aurepthianura) crocea tunneyi","Epthianura","Meliphagidae","Passeriformes","Aves","Chordata","Animalia","Alligator Rivers Yellow Chat","exactMatch",
"Eucalyptus paludicola","Eucalyptus paludicola","Mount Compass Swamp Gum, Fleurieu Swamp Gum, Marsh Gum","Myrtaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2887991","Eucalyptus x paludicola","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Marsh Gum","exactMatch",
"Engaeus orramakunna","Engaeus orramakunna","Mount Arthur Burrowing Crayfish","Parastacidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/383a27a1-7995-44f4-b272-5b61ef79000c","Engaeus orramakunna","Engaeus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia","Mount Arthur Burrowing Crayfish","exactMatch",
"Petrophile latericola","Petrophile latericola","Laterite Petrophile","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2910651","Petrophile latericola","Petrophile","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Laterite Petrophile","exactMatch",
"Boronia deanei subsp. acutifolia","Boronia deanei subsp. acutifolia","-","Rutaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2888720","Boronia deanei subsp. acutifolia","Boronia","Rutaceae","Sapindales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Engaeus martigener","Engaeus martigener","Furneaux Burrowing Crayfish","Parastacidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/5c571352-4a2a-4080-94ba-57b887d578f5","Engaeus martigener","Engaeus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia","Furneaux Burrowing Crayfish","exactMatch",
"Dasyornis brachypterus","Dasyornis brachypterus","Eastern Bristlebird","Dasyornithidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/5a760ca8-e6c7-4465-a113-3eaf26b170cb","Dasyornis (Dasyornis) brachypterus","Dasyornis","Dasyornithidae","Passeriformes","Aves","Chordata","Animalia","Eastern Bristlebird","exactMatch",
"Lucasium occultum","Lucasium occultum","Yellow-snouted Gecko, Yellow-snouted Ground Gecko","Diplodactylidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/194f92a8-346a-47cd-803a-17263f758b9d","Lucasium occultum","Lucasium","Diplodactylidae","Squamata","Reptilia","Chordata","Animalia","Yellow-snouted Ground Gecko","exactMatch",
"Monotoca rotundifolia","Monotoca rotundifolia","Trailing Monotoca","Ericaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2904879","Monotoca rotundifolia","Monotoca","Ericaceae","Ericales","Equisetopsida","Charophyta","Plantae","Trailing Monotoca","exactMatch",
"Toechima sp. East Alligator (J.Russell-Smith 8418)","Toechima sp. East Alligator (J.Russell-Smith 8418)","a tree","Sapindaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2890148","Toechima sp. East Alligator (J.Russell-Smith 8418)","Toechima","Sapindaceae","Sapindales","Equisetopsida","Charophyta","Plantae","A Tree","exactMatch",
"Microcarpaea agonis","Microcarpaea agonis","-","Scrophulariaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2920991","Microcarpaea agonis","Microcarpaea","Linderniaceae","Lamiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Eucalyptus insularis","Eucalyptus insularis","Twin Peak Island Mallee","Myrtaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51289916","Eucalyptus insularis","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Twin Peak Island Mallee","exactMatch",
"Limonium australe var. baudinii","Limonium australe var. baudinii","Baudin's Sea-lavender","Plumbaginaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2904341","Limonium australe var. baudinii","Limonium","Plumbaginaceae","Caryophyllales","Equisetopsida","Charophyta","Plantae","Tasmanian Sea-lavender","exactMatch",
"Zieria citriodora","Zieria citriodora","Lemon-scented Zieria","Rutaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2921138","Zieria citriodora","Zieria","Rutaceae","Sapindales","Equisetopsida","Charophyta","Plantae","Lemon Zieria","exactMatch",
"Hymenophyllum lobbii","Hymenophyllum lobbii","-","Hymenophyllaceae","Extinct","Extinct","Extinct","","https://id.biodiversity.org.au/node/apni/2894170","Hymenophyllum lobbii","Hymenophyllum","Hymenophyllaceae","Hymenophyllales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Eucalyptus infera","Eucalyptus infera","Durikai Mallee","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2900453","Eucalyptus infera","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Durikai Mallee","exactMatch",
"Lepidium drummondii","Lepidium drummondii","Drummond's Lepidium","Brassicaceae","Extinct","Extinct","Extinct","","https://id.biodiversity.org.au/node/apni/2898790","Lepidium drummondii","Lepidium","Brassicaceae","Brassicales","Equisetopsida","Charophyta","Plantae","Drummond's Lepidium","exactMatch",
"Thaumatoperla alpina","Thaumatoperla alpina","Alpine Stonefly","Eustheniidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/41661a6d-9550-4583-9d6f-85957f9c6e7f","Thaumatoperla alpina","Thaumatoperla","Eustheniidae","Plecoptera","Insecta","Arthropoda","Animalia","Alpine Stonefly","exactMatch",
"Macrozamia machinii","Macrozamia machinii","-","Zamiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2914591","Macrozamia machinii","Macrozamia","Zamiaceae","Cycadales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Acacia volubilis","Acacia volubilis","Tangled Wattle, Tangle Wattle","Fabaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2905924","Acacia volubilis","Acacia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Tangle Wattle","exactMatch",
"Kunzea similis subsp. similis","Kunzea similis subsp. similis","-","Myrtaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2920359","Kunzea similis subsp. similis","Kunzea","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Micromyrtus minutiflora","Micromyrtus minutiflora","-","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2914563","Micromyrtus minutiflora","Micromyrtus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Caladenia pallida","Caladenia pallida","Rosy Spider Orchid, Pale Spider-orchid, Summer Spider-orchid","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51399241","Caladenia pallida","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Orchid","exactMatch",
"Acacia woodmaniorum","Acacia woodmaniorum","Woodman's Wattle","Fabaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2920838","Acacia woodmaniorum","Acacia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Woodman's Wattle","exactMatch",
"Notamacropus greyi","Notamacropus greyi","Toolache Wallaby","Macropodidae","Extinct","Extinct","Extinct","","https://biodiversity.org.au/afd/taxa/34bb3b12-72af-4d3e-b7ab-fa4b0a071934","Notamacropus greyi","Notamacropus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia","Toolache Wallaby","exactMatch",
"Euastacus girurmulayn","Euastacus girurmulayn","Smooth Crayfish","Parastacidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/c1aad750-971f-4ea8-808e-45f37f88242e","Euastacus girurmulayn","Euastacus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia",,"exactMatch",
"Galaxias fuscus","Galaxias fuscus","Barred Galaxias","Galaxiidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/2d7f7bf4-2da9-4fea-874d-3a45813449de","Galaxias fuscus","Galaxias","Galaxiidae","Salmoniformes","Actinopterygii","Chordata","Animalia","Barred Galaxias","exactMatch",
"Plectranthus gratus","Plectranthus gratus","-","Lamiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51774930","Coleus gratus","Coleus","Lamiaceae","Lamiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Stipiturus mallee","Stipiturus mallee","Mallee Emu-wren","Maluridae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/75f38563-ec77-45dc-9165-29537c5e7291","Stipiturus mallee","Stipiturus","Maluridae","Passeriformes","Aves","Chordata","Animalia","Mallee Emu-wren","exactMatch",
"Lambertia echinata subsp. occidentalis","Lambertia echinata subsp. occidentalis","Western Prickly Honeysuckle","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2891460","Lambertia echinata subsp. occidentalis","Lambertia","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Western Prickly Honeysuckle","exactMatch",
